,Date,Open,High,Low,Close,Volume,Turnover (₹ Cr),SMA_20,EMA_10,RSI,Returns,Volatility
20,2024-01-18,21414.2,21539.4,21285.55,21462.25,387341268.0,39718.84,21644.3675,21693.275234725454,42.70971586446001,-0.005085307540579342,0.007547835563514406
21,2024-01-19,21615.2,21670.6,21575.0,21622.4,343055124.0,34429.24,21662.735,21680.388828411735,47.00591300861897,0.007461938985893868,0.007641273000743683
22,2024-01-20,21706.15,21720.3,21541.8,21571.8,162073740.0,13917.46,21673.855000000003,21660.645405064144,47.614334297751384,-0.0023401657540329523,0.007625667494245752
23,2024-01-23,21716.7,21750.25,21192.6,21238.8,449718534.0,48813.68,21663.7275,21583.946240507026,43.536073144130164,-0.015436820293160514,0.008356158063599304
24,2024-01-24,21185.25,2148s2.35,21137.2,21453.95,407460664.0,41718.64,21653.6875,21560.310560414837,45.40844944021904,0.010130045011959243,0.008367851991390082
25,2024-01-25,21454.6,21459.0,21247.05,21352.6,418143077.0,40088.5,21632.3825,21522.545003975774,42.136804671379025,-0.00472407179097567,0.008289056337111127
26,2024-01-29,21433.1,21763.25,21429.6,21737.6,376702289.0,34516.42,21632.6925,21561.645912343814,54.55596575925996,0.01803059112239258,0.009301988436638906
27,2024-01-30,21775.75,21813.05,21501.8,21522.1,375137333.0,32916.3,21621.7025,21554.455746463118,49.57051971833645,-0.00991369792433383,0.00956366153307559
28,2024-01-31,21487.25,21741.35,21448.85,21725.7,410583065.0,41587.85,21624.697500000002,21585.591065288005,51.92563798005973,0.00946004339725226,0.009783684927297925
29,2024-02-01,21780.65,21832.95,21658.75,21697.45,332541208.0,34042.15,21633.702500000003,21605.929053417458,50.90441136768597,-0.0013003033273956133,0.00965143354920651
30,2024-02-02,21812.75,22126.8,21805.55,21853.8,442794738.0,38395.9,21643.4625,21650.996498250646,49.24173349956272,0.007205915902559923,0.009673822404252987
31,2024-02-05,21921.05,21964.3,21726.95,21771.7,440849699.0,33807.94,21646.5075,21672.9425894778,43.65319045299564,-0.003756783717248191,0.009707731167603841
32,2024-02-06,21825.2,21951.4,21737.55,21929.4,370968111.0,32910.82,21667.3275,21719.571209572743,48.06491650368592,0.007243348016002349,0.009571343877575123
33,2024-02-07,22045.05,22053.3,21860.15,21930.5,346263704.0,30088.76,21686.61,21757.921898741333,58.1505307903889,5.0160971116319786e-05,0.009572928762056463
34,2024-02-08,22009.65,22011.05,21665.3,21717.95,491069786.0,41082.02,21691.572500000002,21750.654280788363,55.552901320361364,-0.009691981486970147,0.009838668343757295
35,2024-02-09,21727.0,21804.45,21629.9,21782.5,349222850.0,31176.16,21698.3375,21756.444411554116,53.62742432481417,0.0029721958103781088,0.009854835202044214
36,2024-02-12,21800.8,21831.7,21574.75,21616.05,287436165.0,23921.14,21684.4125,21730.91815490791,50.952575721697194,-0.007641455296683142,0.009647831474591861
37,2024-02-13,21664.3,21766.8,21543.35,21743.25,365785766.0,29896.62,21666.7025,21733.16030856102,61.91510971490659,0.005884516366311265,0.009494259987354772
38,2024-02-14,21578.15,21870.85,21530.2,21840.05,359120861.0,32535.0,21657.09,21752.59479791356,59.65974480860642,0.0044519563542708696,0.00954872823026957
39,2024-02-15,21906.55,21953.85,21794.8,21910.75,345394395.0,29559.69,21674.03,21781.350289202004,64.18172116777198,0.0032371720760713263,0.008259686399554118
41,2024-02-19,22103.45,22186.65,22021.05,22122.25,218252325.0,21375.71,21727.945,21881.91300351539,69.00592203185869,0.0036999732313400813,0.008108280782462316
42,2024-02-20,22099.2,22215.6,22045.85,22196.95,295705319.0,26872.32,21759.2025,21939.192457421683,66.25056036415052,0.0033766908881329716,0.0080785678352434
43,2024-02-21,22248.85,22249.4,21997.95,22055.05,364545679.0,29741.39,21800.015,21960.257465163195,61.4351496546431,-0.006392770177884866,0.007298406657220345
44,2024-02-22,22081.55,22252.5,21875.25,22217.45,343495136.0,33985.94,21838.19,22007.01974422443,61.58379256522158,0.007363392964423232,0.007159352350607413
45,2024-02-23,22290.0,22297.5,22186.1,22212.7,225983194.0,24617.01,21881.195,22044.416154365445,64.77584936004823,-0.0002137959126722322,0.007013433945052547
46,2024-02-26,22169.2,22202.15,22075.15,22122.05,207775504.0,20850.26,21900.4175,22058.531399026273,56.75846342746877,-0.004080998707946426,0.006026785356787028
47,2024-02-27,22090.2,22218.25,22085.65,22198.35,252199186.0,24620.71,21934.23,22083.952962839678,58.92565563664227,0.0034490474436139618,0.005481588900337269
48,2024-02-28,22214.1,22229.15,21915.85,21951.15,202952371.0,20579.8,21945.5025,22059.8069695961,57.595596378086135,-0.011135962808046407,0.005842551503006017
49,2024-02-29,21935.2,22060.55,21860.65,21982.8,360165824.0,40196.12,21959.769999999997,22045.805702396807,56.66688856344026,0.0014418378991531977,0.00582943612595497
50,2024-03-01,22048.3,22353.3,22047.75,22338.75,351503075.0,29646.47,21984.017499999998,22099.068301961022,71.36017024295089,0.016192204814673428,0.006648518425418669
51,2024-03-02,22406.95,22419.55,22367.05,22378.4,35763814.0,1918.77,22014.3525,22149.855883422653,69.79708880092264,0.0017749426445079486,0.006549328402638609
52,2024-03-04,22403.5,22440.9,22358.3,22405.6,298794435.0,23771.71,22038.1625,22196.35481370944,68.42722622267112,0.0012154577628427088,0.006403122099359407
53,2024-03-05,22371.25,22416.9,22269.15,22356.3,296153036.0,29165.37,22059.4525,22225.43575667136,64.7225985526881,-0.0022003427714499812,0.006442090684074444
54,2024-03-06,22327.5,22497.2,22224.35,22474.05,312262560.0,31029.01,22097.2575,22270.638346367476,64.43585729038273,0.005266971726090697,0.005990164019133196
55,2024-03-07,22505.3,22525.65,22430.0,22493.55,379865142.0,33558.46,22132.81,22311.167737937023,62.902216971297506,0.000867667376374115,0.00598566993892385
56,2024-03-11,22517.5,22526.6,22307.25,22332.65,277897373.0,27222.37,22168.64,22315.073603766654,54.44888859746906,-0.007153161684127163,0.005946756174569998
57,2024-03-12,22334.45,22452.55,22256.0,22335.7,299201167.0,29781.12,22198.2625,22318.82385762726,60.12263300270525,0.0001365713428544968,0.0058696708631044625
58,2024-03-13,22432.2,22446.75,21905.65,21997.7,493341697.0,40109.23,22206.145,22260.43770169503,42.965073470563716,-0.015132724741109493,0.006874567116946014
59,2024-03-14,21982.55,22204.6,21917.5,22146.65,426742460.0,37348.3,22217.940000000002,22239.74902865957,48.064241962427836,0.006771162439709544,0.006996155500570949
60,2024-03-15,22064.85,22120.9,21931.7,22023.35,661460455.0,60260.88,22217.072500000002,22200.403750721467,47.161672513947174,-0.005567433449302883,0.007003907895746728
61,2024-03-18,21990.1,22123.7,21916.55,22055.7,356321519.0,23015.51,22213.745000000003,22174.093977863016,45.7914146629297,0.0014688955131714199,0.006959231201435375
62,2024-03-19,21946.45,21978.3,21793.1,21817.45,344157465.0,30291.6,22194.77,22109.249618251557,46.03452366828803,-0.010802196257656771,0.007297445462767624
63,2024-03-20,21843.9,21930.9,21710.2,21839.1,312414696.0,28939.85,22183.9725,22060.131505842182,45.71249552452558,0.0009923249508994036,0.007187518011030015
64,2024-03-21,21989.9,22080.95,21941.3,22011.95,353172434.0,31258.4,22173.697500000002,22051.371232052694,39.053393180143395,0.007914703444739102,0.007220114184799247
